Ticker,Short Name,GICS Sector,Ranking Model: Long Score,Alpha:M-6,P/E,Live PE Chg,P/B,Live P/BK Chg,P/FCF,Live P/CF Chg,Diluted EPS - 5 Year Average Growth:Y,BEst ROE BF12M,BEst ROA BF12M,Tot Buy,Tot Sell,"5 December, 2012",Closing PX ,WMAVG,,,SMAVG,,,
2238    HK Equity,GUANGZHOU AUTO-H,Consumer Discretionary,44.26,-0.18,7.85,4.44,1.04,-0.01,5.25,49.88,N.A.,10.9,7.4,2,7,,6.44,6.169090909,6.084363636,6.016,6.071,5.974,5.884,
1638    HK Equity,KAISA GROUP HOLD,Financials,44.24,0.24,5.26,0.26,0.69,0,N.A.,N.A.,N.A.,15.19,5.12,7,0,,2.2,2.085818182,2.042,1.996363636,2.011,1.959,1.909,
SIA     SP Equity,SINGAPORE AIRLIN,Industrials,44.21,-0.03,47.6,-17.38,0.97,0,29.13,0.07,39.33,4.87,2.9,6,5,,10.69,10.64036364,10.61418182,10.57618182,10.585,10.546,10.511,
2328    HK Equity,PICC PROPERTY &,Financials,44.19,0.03,10.83,-1.08,2.29,-0.07,N.A.,N.A.,337.61,22.47,3.4,12,4,,10.2,9.972363636,9.925636364,9.932727273,9.976,9.943,9.929,
1       HK Equity,CHEUNG KONG,Financials,44.12,0.1,9.7,1.64,0.87,-0.03,N.A.,N.A.,N.A.,7.99,6.74,18,0,,118.5,117.6509091,117.3745455,117.2618182,117.46,116.98,116.58,
3323    HK Equity,CHINA NATL BDG-H,Materials,44.01,-0.06,7.13,1.56,1.67,-0.18,N.A.,-7.48,N.A.,19.03,3.87,21,7,,10.54,10.04472727,9.916181818,9.839454545,9.922,9.833,9.758,
1813    HK Equity,KWG PROPERTY,Financials,43.97,0.01,6.16,0.13,0.93,-0.06,N.A.,N.A.,N.A.,14.8,4.68,21,1,,5.58,5.408363636,5.336909091,5.275636364,5.277,5.187,5.103,
2883    HK Equity,CHINA OILFIELD-H,Energy,43.91,0.18,12.8,-0.8,1.86,-0.12,N.A.,N.A.,30.02,15.37,7.52,20,5,,15.5,15.156,15.06472727,15.00654545,15.072,14.998,14.96,
1972    HK Equity,SWIRE PROPERTIES,Financials,43.77,0.1,9.75,10.15,0.8,0,N.A.,-17.92,N.A.,3.66,3.06,12,0,,25.1,25.37181818,25.42818182,25.55636364,25.41,25.41,25.405,
67      HK Equity,LUMENA NEWMAT,Materials,43.58,0.03,5.59,-0.71,0.52,-0.05,N.A.,N.A.,N.A.,11.54,8.66,5,1,,1.62,1.578727273,1.572,1.576545455,1.585,1.583,1.585,
941     HK Equity,CHINA MOBILE,Telecommunication Services,43.55,0,11.33,0.18,2.11,-0.09,N.A.,N.A.,14.19,16.92,12.31,15,6,,89.75,88.28909091,87.93636364,87.75454545,88.105,87.81,87.45,
JS      SP Equity,JARDINE STRAT,Industrials,43.53,0.08,9.64,3.54,1.07,0.06,N.A.,-4.15,49.69,9.19,4.49,4,2,,35.42,34.63527273,34.48418182,34.38745455,34.645,34.589,34.578,
13      HK Equity,HUTCHISON WHAMPO,Industrials,43.52,0.04,16.97,-1.88,0.92,0,279.23,-1.85,N.A.,6.94,3.49,12,0,,80.35,79.18727273,78.90727273,78.92909091,79.035,78.81,78.72,
123     HK Equity,YUEXIU PROPERTY,Financials,43.49,0.14,8.17,0.81,0.85,-0.05,N.A.,N.A.,N.A.,10.33,3.72,18,0,,2.46,2.435818182,2.423818182,2.415818182,2.412,2.394,2.376,
3331    HK Equity,VINDA INTL HLDGS,Consumer Staples,43.48,-0.21,20.93,-2.63,2.69,-0.09,N.A.,3.04,N.A.,17.35,8.67,15,1,,10.36,10.69745455,10.82763636,11.01927273,10.942,11.076,11.214,
916     HK Equity,CHINA LONGYUAN-H,Utilities,43.42,-0.02,11.8,-0.67,1.22,-0.09,N.A.,N.A.,68.92,10.4,3.73,24,1,,5.29,5.115272727,5.060545455,5.008909091,5.036,4.989,4.946,
857     HK Equity,PETROCHINA CO-H,Energy,43.39,-0.09,11.9,0.07,1.49,-0.04,N.A.,-2.23,0.26,12.61,6.92,13,5,,10.56,10.32109091,10.26509091,10.24981818,10.29,10.252,10.236,
